METHOD;PARA_NAME;DATATYPE;DEFAULTVAL;INTVAL;DOUBLEVAL;STRVAL;DESCRIPTION;DEPENDENCY
AUTOML;PIPELINE_TYPE;VARCHAR or NVARCHAR;regressor;;;;;
AES;FORECAST_NUM;INTEGER;0;0;;;Number of values to be forecast;
AES;MODELSELECTION;INTEGER;1;1;;;When this is set to 1, the algorithm will select the best model among Single/Double/Triple/Damped Double/Damped Triple Exponential Smoothing models.\n\nIf FORECAST_MODEL_NAME is set, the model defined by FORECAST_MODEL_NAME will be used.\n\nWhen this is set to 0, the algorithm will not perform the model selection.;
AES;FORECAST_MODEL_NAME;VARACHAR;No\ndefault value;;;;Name of the statistical model used for calculating the forecast.\n\nSESM: Single Exponential Smoothing\n\nDESM: Double Exponential Smoothing\n\nTESM: Triple Exponential Smoothing;This parameter must be set unless MODELSELECTION is set to 1.
AES;CYCLE;INTEGER;No\ndefault value;;;;Length of a cycle (L > 1). For example, the cycle of quarterly data is 4, and the cycle of monthly data is 12.;Only valid when the model is set by user or identified \nby the algorithm as a TESM.
AES;OPTIMIZER_TIME_BUDGET;INTEGER;1;1;;;Time budget for Nelder-Mead optimization process. \nThe time unit is second and the value should be larger than zero.;
AES;MAX_ITERATION;INTEGER;100;100;;;Maximum number of iterations for simulated annealing.;
AES;THREAD_RATIO;DOUBLE;1;;1;;Specifies the ratio of total number of threads that can be used by this function. The value range is from 0 to 1,\n where 0 means only using one thread, and 1 means using at most all the currently available threads. \nValues outside the range are ignored and this function heuristically determines the number of threads to use.;
AES;EXPOST_FLAG;INTEGER;1;1;;;0: Does not output the expost forecast, and just outputs the forecast values.\n\n1: Outputs the expost forecast and the forecast values.;
AES;ALPHA;DOUBLE;No\ndefault value;;;;Default value computed automatically.\nWeight for smoothing.\nValue range: 0 < ? < 1;
AES;BETA;DOUBLE;No\ndefault value;;;;Weight for the trend component.\n\nValue range: 0 Value range: 0 ? ? < 1\n\nNote: If it is not set, the optimized value will be computed automatically.;Only valid when the model is set by user or identified by the algorithm as a DESM/TESM.\n\nValue 0 is allowed under TESM model only.
AES;GAMMA;DOUBLE;No\ndefault value;;;;Weight for the seasonal component.\n\nValue range: 0 < ? < 1;Only valid when the model is set by user or identified by the algorithm as TESM.
AES;PHI;DOUBLE;No\ndefault value;;;;Value of the damped smoothing constant ? (0 < ? < 1).;Only valid when the model is set by user or identified by the algorithm as a DAMPED model.
AES;SEASONAL;INTEGER;No\ndefault value;;;;If MODELSELECTION is set to 1, the default value will be computed automatically. Otherwise, the default value is 0.\n0: Multiplicative triple exponential smoothing\n\n1: Additive triple exponential smoothing;Only valid when the model is set by user or identified by the algorithm as a TESM.
AES;INITIAL_METHOD;INTEGER;0 or 1;;;;Initialization method for the trend and seasonal components. Refer to Triple Exponential Smoothing for detailed information on initialization method.;Only valid when the model is set by user or identified by the algorithm as a TESM.
AES;TRAINING_RATIO;DOUBLE;1;;1;;The ratio of training data to the whole time series.\n\nAssuming the size of time series is N, and the training ratio is r, the first N*r time series is used to train, whereas only the latter N*(1-r) one is used to test.;If this parameter is set to 0.0 or 1.0, or the resulting training data (N*r) is less than 1 or equal to the size of time series, no train-and-test procedure is carried out.
AES;DAMPED;INTEGER;No default value;;;;If MODELSELECTION is set to 1, the default value will be computed automatically. \nOtherwise, the default value is 0.\nFor DESM:\n\n0: Uses the Holt's linear method.\n\n1: Uses the additive damped trend Holt's linear method.\n\nFor TESM:\n\n0: Uses the Holt Winter method.\n\n1: Uses the additive damped seasonal Holt Winter method.;
AES;ACCURACY_MEASURE;VARCHAR;MSE;;;MSE;The criterion used for the optimization. Available values are MSE and MAPE.;
AES;SEASONALITY_CRITERION;DOUBLE;0.5;;0.5;;The criterion of the auto-correlation coefficient for accepting seasonality, in the range of (0, 1). The larger it is, the less probable a time series is regarded to be seasonal.;Only valid when FORECAST_MODEL_NAME is TESM or MODELSELECTION is set to 1, and CYCLE is not defined.
AES;TREND_TEST_METHOD;INTEGER;1;1;;;The method to test trend:\n\n1: MK test\n\n2: Difference-sign test;Only valid when MODELSELECTION is set to 1.
AES;TREND_TEST_ALPHA;DOUBLE;0.05;;0.05;;Tolerance probability for trend test. The value range is (0, 0.5).;Only valid when MODELSELECTION is set to 1.
AES;ALPHA_MIN;DOUBLE;1E-10;;1e-10;;Sets the minimum value of ALPHA.;Only valid when ALPHA is not defined.
AES;BETA_MIN;DOUBLE;0.0000000001;;1e-10;;Sets the minimum value of BETA.;Only valid when BETA is not defined.
